Steel,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,AVERAGE,STDEV,MAX,MIN,deltaMAXMIN,deltaMaxMin/2
h from slope,17.59447044,14.38969427,18.28891657,15.89383226,16.22258004,17.364846,17.57443654,16.55200094,16.75455446,22.18513219,,16.27366154,17.19037502,1.959462089,22.18513219,14.38969427,7.795437926,3.897718963
R2,0.999282339,0.92348705,0.998764873,0.996908952,0.999148048,0.999359936,0.999605489,0.997820305,0.999339929,0.801899655,,0.999184384,0.974072814,0.061418489,0.999605489,0.801899655,0.197705834,0.098852917
STD,0.429024032,5.015528282,0.569584315,1.201673893,0.443499689,0.36137861,0.480465254,0.941823201,0.724442378,13.39098065,,0.694084556,2.204771351,3.942168761,13.39098065,0.36137861,13.02960204,6.514801021
Tf,23.5,26.66666667,24,24,24.26666667,24.03333333,24,24.5,24.43333333,24.43333333,,23.9,24.33939394,0.824731361,26.66666667,23.5,3.166666667,1.583333333
deltaU,20362.60081,27634.72253,20361.50081,24727.29385,20361.70081,26180.95819,20365.70081,27635.42253,20362.20081,27959.71669,,23271.4295,23565.74976,3346.598105,27959.71669,20361.50081,7598.215875,3799.107938
0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
Tf - Taverage,-0.839393939,2.327272727,-0.339393939,-0.339393939,-0.072727273,-0.306060606,-0.339393939,0.160606061,0.093939394,0.093939394,,-0.439393939,-6.45948E-16,0.824731361,2.327272727,-0.839393939,3.166666667,1.583333333
H > Haverage?,1,0,1,0,0,1,1,0,0,1,0,0,,,,,,
Tf > Taverage?,0,1,0,0,0,0,0,1,1,1,0,0,,,,,,
HBOOLE = TfBOOLE,0,0,0,1,1,0,0,0,0,1,1,1,5trues,6falses,,,,
To,70,95,70,85,70,85,70,95,70,95,,80,,,,,,
Brass,A1,A2,A3,,B1,B2,B3,B4,C1,C2,C3,C4,AVERAGE,STDEV,MAX,MIN,deltaMAXMIN,deltaMaxMin/2
h from slope,19.8812855,22.41942603,20.74872215,,20.26623371,18.89968875,17.97618981,19.59911788,19.08859459,21.00420034,19.49892647,19.18512482,19.86977364,1.205570658,22.41942603,17.97618981,4.443236217,2.221618109
R2,0.999342757,0.99936844,0.999539751,,0.998988986,0.998325297,0.997925493,0.999064615,0.99964176,0.999327232,0.99863338,0.999151174,0.99902808,0.000531618,0.99964176,0.997925493,0.001716268,0.000858134
STD,1.74636663,0.544577037,0.528680354,,0.95547812,1.253223825,1.910156467,1.499501209,0.399683864,0.757393923,0.607021262,0.461884839,0.969451594,0.546221413,1.910156467,0.399683864,1.510472603,0.755236301
Tf,23.5,26.66666667,24,,24.26666667,24.03333333,24,24.5,24.56666667,24.43333333,24.13333333,23.9,24.36363636,0.822523832,26.66666667,23.5,3.166666667,1.583333333
deltaU,27268.44251,32722.65101,34539.08718,,27267.74251,32721.85101,27271.94251,32721.85101,27267.94251,32722.45101,29085.47868,25449.50634,29912.63148,3186.491415,34539.08718,25449.50634,9089.580837,4544.790418
0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tf - Taverage,-0.863636364,2.303030303,-0.363636364,-24.36363636,-0.096969697,-0.33030303,-0.363636364,0.136363636,0.203030303,0.06969697,-0.23030303,-0.463636364,-2.03030303,7.076765226,2.303030303,-24.36363636,26.66666667,13.33333333
H > Haverage?,TRUE,TRUE,TRUE,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,0,0
Tf > Taverage?,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,,
HBOOLE = TfBOOLE,FALSE,TRUE,FALSE,,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,6trues,5falses,,,,
To,75,90,95,,75,85,75,90,75,90,80,70,,,,,,
Aluminium,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,AVERAGE,STDEV,MAX,MIN,deltaMAXMIN,deltaMaxMin/2
h from slope,15.06076685,17.82924776,15.83203701,16.05949341,15.64032955,15.72897038,14.83240153,15.79662116,15.37058208,13.89953747,14.70761481,15.26093439,15.5015447,0.949192064,17.82924776,13.89953747,3.929710284,1.964855142
R2,0.994834649,0.992609192,0.99548498,0.997046064,0.993933923,0.999529491,0.997665517,0.99958972,0.999315741,0.997747598,0.999509115,0.9989404,0.997183866,0.002426946,0.99958972,0.992609192,0.006980528,0.003490264
STD,0.930685257,2.40596679,1.062954254,0.434698008,1.514144724,0.41513869,1.642918383,0.378592498,0.423963868,1.306481191,0.30356323,0.493502497,0.942717449,0.663250423,2.40596679,0.30356323,2.10240356,1.05120178
Tf,23.5,26.66666667,24,24,24.26666667,24.03333333,24,24.5,24.56666667,24.43333333,24.13333333,23.9,24.33333333,0.791239917,26.66666667,23.5,3.166666667,1.583333333
deltaU,897.4821181,955.0997505,896.3821181,1011.117383,897.0821181,1066.635015,902.1821181,953.9997505,897.3821181,952.6997505,784.6468533,840.9644857,921.3061316,73.9945966,1066.635015,784.6468533,281.9881619,140.994081
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tf - Taverage,-0.833333333,2.333333333,-0.333333333,-0.333333333,-0.066666667,-0.3,-0.333333333,0.166666667,0.233333333,0.1,-0.2,-0.433333333,,,2.333333333,-0.833333333,,
H > Haverage?,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,
Tf > Taverage?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,,
HBOOLE = TfBOOLE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,6trues,5falses,,,,
To,80,85,80,90,80,95,80,85,80,85,70,75,,,,,,
