Steel,h from slope,R2,STD,Tf,deltaU,0,Tf - Taverage,H > Haverage?,Tf > Taverage?,HBOOLE = TfBOOLE,To,Brass,h from slope,R2,STD,Tf,deltaU,0,Tf - Taverage,H > Haverage?,Tf > Taverage?,HBOOLE = TfBOOLE,To,Aluminium,h from slope,R2,STD,Tf,deltaU,0,Tf - Taverage,H > Haverage?,Tf > Taverage?,HBOOLE = TfBOOLE,To,
A1,17.59447044,0.999282339,0.429024032,23.5,20362.60081,0,-0.839393939,1,0,0,70,A1,19.8812855,0.999342757,1.74636663,23.5,27268.44251,0,-0.863636364,TRUE,FALSE,FALSE,75,A1,15.06076685,0.994834649,0.930685257,23.5,897.4821181,0,-0.833333333,FALSE,FALSE,TRUE,80,
A2,14.38969427,0.92348705,5.015528282,26.66666667,27634.72253,0,2.327272727,0,1,0,95,A2,22.41942603,0.99936844,0.544577037,26.66666667,32722.65101,0,2.303030303,TRUE,TRUE,TRUE,90,A2,17.82924776,0.992609192,2.40596679,26.66666667,955.0997505,0,2.333333333,TRUE,TRUE,TRUE,85,
A3,18.28891657,0.998764873,0.569584315,24,20361.50081,0,-0.339393939,1,0,0,70,A3,20.74872215,0.999539751,0.528680354,24,34539.08718,0,-0.363636364,TRUE,FALSE,FALSE,95,A3,15.83203701,0.99548498,1.062954254,24,896.3821181,0,-0.333333333,TRUE,FALSE,FALSE,80,
A4,15.89383226,0.996908952,1.201673893,24,24727.29385,0,-0.339393939,0,0,1,85,,,,,,,,-24.36363636,,,,,A4,16.05949341,0.997046064,0.434698008,24,1011.117383,0,-0.333333333,TRUE,FALSE,FALSE,90,
B1,16.22258004,0.999148048,0.443499689,24.26666667,20361.70081,0,-0.072727273,0,0,1,70,B1,20.26623371,0.998988986,0.95547812,24.26666667,27267.74251,0,-0.096969697,TRUE,FALSE,FALSE,75,B1,15.64032955,0.993933923,1.514144724,24.26666667,897.0821181,0,-0.066666667,TRUE,FALSE,FALSE,80,
B2,17.364846,0.999359936,0.36137861,24.03333333,26180.95819,0,-0.306060606,1,0,0,85,B2,18.89968875,0.998325297,1.253223825,24.03333333,32721.85101,0,-0.33030303,FALSE,FALSE,TRUE,85,B2,15.72897038,0.999529491,0.41513869,24.03333333,1066.635015,0,-0.3,TRUE,FALSE,FALSE,95,
B3,17.57443654,0.999605489,0.480465254,24,20365.70081,0,-0.339393939,1,0,0,70,B3,17.97618981,0.997925493,1.910156467,24,27271.94251,0,-0.363636364,FALSE,FALSE,TRUE,75,B3,14.83240153,0.997665517,1.642918383,24,902.1821181,0,-0.333333333,FALSE,FALSE,TRUE,80,
B4,16.55200094,0.997820305,0.941823201,24.5,27635.42253,0,0.160606061,0,1,0,95,B4,19.59911788,0.999064615,1.499501209,24.5,32721.85101,0,0.136363636,FALSE,TRUE,FALSE,90,B4,15.79662116,0.99958972,0.378592498,24.5,953.9997505,0,0.166666667,TRUE,TRUE,TRUE,85,
C1,16.75455446,0.999339929,0.724442378,24.43333333,20362.20081,0,0.093939394,0,1,0,70,C1,19.08859459,0.99964176,0.399683864,24.56666667,27267.94251,0,0.203030303,FALSE,TRUE,FALSE,75,C1,15.37058208,0.999315741,0.423963868,24.56666667,897.3821181,0,0.233333333,FALSE,TRUE,FALSE,80,
C2,22.18513219,0.801899655,13.39098065,24.43333333,27959.71669,0,0.093939394,1,1,1,95,C2,21.00420034,0.999327232,0.757393923,24.43333333,32722.45101,0,0.06969697,TRUE,TRUE,TRUE,90,C2,13.89953747,0.997747598,1.306481191,24.43333333,952.6997505,0,0.1,FALSE,TRUE,FALSE,85,
C3,,,,,,,,0,0,1,,C3,19.49892647,0.99863338,0.607021262,24.13333333,29085.47868,0,-0.23030303,FALSE,FALSE,TRUE,80,C3,14.70761481,0.999509115,0.30356323,24.13333333,784.6468533,0,-0.2,FALSE,FALSE,TRUE,70,
C4,16.27366154,0.999184384,0.694084556,23.9,23271.4295,0,-0.439393939,0,0,1,80,C4,19.18512482,0.999151174,0.461884839,23.9,25449.50634,0,-0.463636364,FALSE,FALSE,TRUE,70,C4,15.26093439,0.9989404,0.493502497,23.9,840.9644857,0,-0.433333333,FALSE,FALSE,TRUE,75,
AVERAGE,17.19037502,0.974072814,2.204771351,24.33939394,23565.74976,0,-6.45948E-16,,,5trues,,AVERAGE,19.86977364,0.99902808,0.969451594,24.36363636,29912.63148,0,-2.03030303,,,6trues,,AVERAGE,15.5015447,0.997183866,0.942717449,24.33333333,921.3061316,0,,,,6trues,,
STDEV,1.959462089,0.061418489,3.942168761,0.824731361,3346.598105,0,0.824731361,,,6falses,,STDEV,1.205570658,0.000531618,0.546221413,0.822523832,3186.491415,0,7.076765226,,,5falses,,STDEV,0.949192064,0.002426946,0.663250423,0.791239917,73.9945966,0,,,,5falses,,
MAX,22.18513219,0.999605489,13.39098065,26.66666667,27959.71669,0,2.327272727,,,,,MAX,22.41942603,0.99964176,1.910156467,26.66666667,34539.08718,0,2.303030303,,,,,MAX,17.82924776,0.99958972,2.40596679,26.66666667,1066.635015,0,2.333333333,,,,,
MIN,14.38969427,0.801899655,0.36137861,23.5,20361.50081,0,-0.839393939,,,,,MIN,17.97618981,0.997925493,0.399683864,23.5,25449.50634,0,-24.36363636,,,,,MIN,13.89953747,0.992609192,0.30356323,23.5,784.6468533,0,-0.833333333,,,,,
